station_id,name,lat,lon,capacity,departures,member_departures,casual_departures,avg_duration_min,peak_hour_dep,arrivals,net_flow,total_activity,trips_per_dock_per_day,member_share,has_2023_trips
7157,Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,22,3815,353.0,3462.0,19.9504499781564,8.0,3109,-706,6924,0.862,0.093,True
7158,King St W / Stafford St,43.6422222,-79.41111111111111,15,9671,759.0,8912.0,16.459357874056458,8.0,9693,22,19364,3.537,0.078,True
7160,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,19,23362,1547.0,21815.0,15.895484832919555,17.0,23823,461,47185,6.804,0.066,True
7161,Beverley St / College St,43.6575,-79.39527777777778,23,11776,1154.0,10622.0,12.67986865942029,18.0,11797,21,23573,2.808,0.098,True
7162,Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,23,9671,655.0,9016.0,19.232602626408852,17.0,9496,-175,19167,2.283,0.068,True
7164,Gould St / Yonge St (TMU),43.657424,-79.381019,23,19012,778.0,18234.0,18.49107318185006,17.0,19499,487,38511,4.587,0.041,True
7168,Queens Quay / Yonge St,43.641646,-79.375308,47,27556,1451.0,26105.0,27.642307180529343,17.0,29336,1780,56892,3.316,0.053,True
7169,Front St W / Bay St (North Side),43.646162,-79.378912,11,10962,810.0,10152.0,17.663340023110138,17.0,10832,-130,21794,5.428,0.074,True
7170,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,15,11887,633.0,11254.0,13.593386332407954,17.0,11513,-374,23400,4.274,0.053,True
7171,Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,27,17898,608.0,17290.0,30.542265430029428,23.0,18610,712,36508,3.705,0.034,True
7172,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,19,6735,297.0,6438.0,25.214575600098986,17.0,8031,1296,14766,2.129,0.044,True
7173,Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,19,2642,83.0,2559.0,18.78651274287156,17.0,2208,-434,4850,0.699,0.031,True
7174,Bloor St W / Dundas St W,43.65659717619002,-79.4515374491519,15,8268,394.0,7874.0,16.688139009837123,17.0,8059,-209,16327,2.982,0.048,True
7175,HTO Park (Queens Quay W),43.63796,-79.387502,27,18990,726.0,18264.0,30.13686150605582,18.0,23068,4078,42058,4.268,0.038,True
7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,19,14163,920.0,13243.0,14.79177316481913,8.0,14199,36,28362,4.09,0.065,True
7178,Dundas St W / Edna Ave,43.657192,-79.452559,15,6255,355.0,5900.0,17.832525979216626,17.0,6242,-13,12497,2.283,0.057,True
7180,Lansdowne Subway Station,43.65922918158098,-79.44320901022282,23,7558,420.0,7138.0,15.765921319573078,17.0,7429,-129,14987,1.785,0.056,True
7181,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,15,2532,85.0,2447.0,18.10889942074776,8.0,2432,-100,4964,0.907,0.034,True
7182,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,19,1618,151.0,1467.0,15.316100123609395,17.0,1205,-413,2823,0.407,0.093,True
7183,St Clarens Ave / College St,43.651238,-79.43868,15,4046,235.0,3811.0,17.24616081726808,8.0,4047,1,8093,1.478,0.058,True
7184,Ossington Ave / College St,43.6544915,-79.422634,11,11494,600.0,10894.0,14.5838857954875,8.0,11607,113,23101,5.754,0.052,True
7188,Atlantic Ave / Liberty St,43.637695491830144,-79.42023184193503,35,6170,354.0,5816.0,15.28094003241491,17.0,6328,158,12498,0.978,0.057,True
7189,Augusta Ave / Denison Sq,43.653766,-79.4016759,15,12970,759.0,12211.0,18.568528655872527,17.0,13006,36,25976,4.744,0.059,True
7190,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,15,20516,1005.0,19511.0,11.597176187690907,17.0,19582,-934,40098,7.324,0.049,True
7191,Central Tech  (Harbord St),43.661975,-79.407896,11,14130,1046.0,13084.0,14.72774121255013,18.0,14102,-28,28232,7.032,0.074,True
7192,Harbord St / Clinton St,43.660414,-79.415646,15,9484,692.0,8792.0,13.490234429917052,8.0,9441,-43,18925,3.457,0.073,True
7193,Dufferin St / Queen St W,43.64309687937765,-79.42875613770637,15,9863,823.0,9040.0,15.930842542836864,17.0,10551,688,20414,3.729,0.083,True
7195,Ulster St / Bathurst St,43.66,-79.4088888888889,10,7925,418.0,7507.0,12.335017875920084,8.0,7805,-120,15730,4.31,0.053,True
7196,Roxton Rd / Harbord St,43.65905,-79.422988,11,5142,286.0,4856.0,14.063603656164917,8.0,5085,-57,10227,2.547,0.056,True
